as_of_date,composite_ticker,fundflow
2018-12-03,SPY,276209600
2018-12-04,SPY,-3769440300
2018-12-06,SPY,-3094148385
2018-12-07,SPY,1619431200
2018-12-10,SPY,131839900
2018-12-11,SPY,726393525
2018-12-12,SPY,2059684380
2018-12-13,SPY,-1712400180
2018-12-14,SPY,1486706480
2018-12-17,SPY,2174934520
2018-12-18,SPY,-242347090
2018-12-19,SPY,-1581863040
2018-12-20,SPY,-603011760
2018-12-21,SPY,7172259700
2018-12-24,SPY,2937991800
2018-12-26,SPY,-831811860
2018-12-27,SPY,-1241944480
2018-12-28,SPY,-2902250520
2018-12-31,SPY,-3258397735
2019-01-02,SPY,-1349569620
2019-01-03,SPY,-1025986460
2019-01-04,SPY,2026130430
2019-01-07,SPY,-1401283980
2019-01-08,SPY,483078420
2019-01-09,SPY,-1976724750
2019-01-10,SPY,2191719050
2019-01-11,SPY,-1282105440
2019-01-14,SPY,-854606610
2019-01-15,SPY,-888866970
2019-01-16,SPY,-755175660
2019-01-17,SPY,-3366772290
2019-01-18,SPY,1209770560
2019-01-22,SPY,1438896960
2019-01-23,SPY,722436275
2019-01-24,SPY,39492330
2019-01-25,SPY,-2399235930
2019-01-28,SPY,-2366461940
2019-01-29,SPY,2242380750
2019-01-30,SPY,-1448856200
2019-01-31,SPY,481584780
2019-02-01,SPY,-728731890
2019-02-04,SPY,905092615
2019-02-05,SPY,-176805200
2019-02-06,SPY,-327948120
2019-02-07,SPY,-204532500
2019-02-08,SPY,0
2019-02-11,SPY,851973885
2019-02-12,SPY,920247740
2019-02-13,SPY,260452855
2019-02-14,SPY,-2227578570
2019-02-15,SPY,-425283575
2019-02-19,SPY,1719708880
2019-02-20,SPY,-1291799760
2019-02-21,SPY,709800150
2019-02-22,SPY,346745875
2019-02-22,SPY,32178.0172
2019-02-25,SPY,3210519400
2019-02-26,SPY,-1020382243
2019-02-27,SPY,-488844370
2019-02-28,SPY,1033155913.6
2019-03-01,SPY,-222821464
2019-03-04,SPY,1472381867.3
2019-03-05,SPY,-1801969601
2019-03-07,SPY,-4297642949
2019-03-08,SPY,-1210344890
2019-03-11,SPY,-96081329.05
2019-03-12,SPY,2729600918.8
2019-03-13,SPY,2039345987.2
2019-03-14,SPY,-2799090061
2019-03-15,SPY,-1757291650
2019-03-18,SPY,3981007015.8
2019-03-19,SPY,2033199496.8
2019-03-20,SPY,-338836784.4
2019-03-21,SPY,366008162
2019-03-22,SPY,-1793055650
2019-03-25,SPY,-97730964.45
2019-03-26,SPY,-1199775237
2019-03-27,SPY,1025723197.1
2019-03-28,SPY,405593580.95
2019-03-29,SPY,2484780401
2019-04-01,SPY,-1342661073
2019-04-02,SPY,214451258.25
2019-04-03,SPY,1529834115.7
2019-04-04,SPY,702083262.65
2019-04-05,SPY,-689345275.2
2019-04-08,SPY,-115423016.4
2019-04-09,SPY,2152040942.2
2019-04-10,SPY,1349843266.5
2019-04-11,SPY,1916670913.5
2019-04-12,SPY,374705289.4
2019-04-15,SPY,-768941831.9
2019-04-16,SPY,2232932886.8
2019-04-17,SPY,-1595758461
2019-04-18,SPY,-1954186526
2019-04-22,SPY,-43495384.35
2019-04-23,SPY,-841782011.1
2019-04-24,SPY,-937106329.6
2019-04-25,SPY,-949667192.5
2019-04-26,SPY,-102234235.3
2019-04-29,SPY,-58694018
2019-04-30,SPY,3995640315.2
2019-05-01,SPY,-161745141.3
2019-05-02,SPY,-3998785962
2019-05-03,SPY,-480601095.2
2019-05-06,SPY,-132346140.8
2019-05-07,SPY,-2649967895
2019-05-08,SPY,-2145526297
2019-05-09,SPY,-1739594627
2019-05-10,SPY,-917658041.6
2019-05-13,SPY,518269906.8
2019-05-14,SPY,-1686045984
2019-05-15,SPY,-1005667306
2019-05-16,SPY,14249724.9
2019-05-17,SPY,2070745502.4
2019-05-20,SPY,1601364620.8
2019-05-21,SPY,-511270230.6
2019-05-22,SPY,973930969
2019-05-23,SPY,-1699596032
2019-05-24,SPY,-324624983.1
2019-05-28,SPY,-565404710
2019-05-29,SPY,-2270789494
2019-05-30,SPY,-1350345987
2019-05-31,SPY,-153472092.4
2019-06-03,SPY,-275424119
2019-06-04,SPY,205999356
2019-06-05,SPY,659270301.9
2019-06-06,SPY,2715377193.6
2019-06-07,SPY,1110159445.2
2019-06-10,SPY,1236920430.2
2019-06-11,SPY,-2181880381
2019-06-12,SPY,881155248
2019-06-13,SPY,158576264
2019-06-14,SPY,1780941846
2019-06-17,SPY,-621686068.7
2019-06-18,SPY,477551385.3
2019-06-19,SPY,-1841062835
2019-06-20,SPY,-4044767608
2019-06-21,SPY,266301073.8
2019-06-24,SPY,2838086480.9
2019-06-25,SPY,2290024807.2
2019-06-26,SPY,-1512186733
2019-06-27,SPY,-943956923
2019-06-28,SPY,583203832
2019-07-01,SPY,-87987341.7
2019-07-02,SPY,339877057.05
2019-07-03,SPY,400166596.35
2019-07-05,SPY,1762710443.8
2019-07-08,SPY,1714961138.3
2019-07-09,SPY,-163248158.7
2019-07-10,SPY,29727264.5
2019-07-11,SPY,1104875659.1
2019-07-12,SPY,1541387486.2
2019-07-15,SPY,857021066.1
2019-07-16,SPY,736862166.6
2019-07-17,SPY,-299746528
2019-07-18,SPY,-952948390.4
2019-07-19,SPY,-1868076450
2019-07-22,SPY,-1574412202
2019-07-23,SPY,-744763375
2019-07-24,SPY,239958923.2
2019-07-25,SPY,-165751245
2019-07-26,SPY,1423975833.5
2019-07-29,SPY,528494566.25
2019-07-30,SPY,256282757.95
2019-07-31,SPY,-1022590606
2019-08-01,SPY,-520619097.3
2019-08-02,SPY,-3154902180
2019-08-05,SPY,-5444781850
2019-08-06,SPY,-3394259956
2019-08-07,SPY,1726516146
2019-08-08,SPY,806344579.6
2019-08-09,SPY,1027072312
2019-08-12,SPY,-699734256
2019-08-13,SPY,3126164170.5
2019-08-14,SPY,-2470620270
2019-08-15,SPY,-2328124115
2019-08-16,SPY,583571804.65
2019-08-19,SPY,996392975.1
2019-08-20,SPY,-73077927.75
2019-08-21,SPY,-565549654.8
2019-08-22,SPY,160831890.45
2019-08-23,SPY,-555334935.5
2019-08-26,SPY,113888391.2
2019-08-27,SPY,518171524.2
2019-08-28,SPY,-129129290.1
2019-08-29,SPY,447696091.4
2019-08-30,SPY,-190149095.5
2019-09-03,SPY,-1478444807
2019-09-04,SPY,654228175.5
2019-09-05,SPY,1337396660.6
2019-09-06,SPY,952994707.2
2019-09-09,SPY,3562177973.7
2019-09-10,SPY,1147629140.4
2019-09-11,SPY,283287360.9
2019-09-12,SPY,135161330.4
2019-09-13,SPY,5528221521.3
2019-09-16,SPY,-6173153028
2019-09-17,SPY,-30019684.3
2019-09-18,SPY,1866006578.6
2019-09-19,SPY,-4335449530
2019-09-20,SPY,-15054791.45
2019-09-23,SPY,2430795079.8
2019-09-24,SPY,2639320950.6
2019-09-25,SPY,1404765907.3
2019-09-26,SPY,-282684169.8
2019-09-27,SPY,-1781135676
2019-09-30,SPY,723531988.55
2019-10-01,SPY,59364664
2019-10-02,SPY,-3239811855
2019-10-03,SPY,-2620295687
2019-10-04,SPY,1582196040
2019-10-07,SPY,956919476.5
2019-10-08,SPY,-1553531458
2019-10-09,SPY,519418447.2
2019-10-10,SPY,582566530
2019-10-11,SPY,2022782727.3
2019-10-14,SPY,-563136736.4
2019-10-15,SPY,547556421.4
2019-10-16,SPY,-582897164.9
2019-10-17,SPY,-283426429.5
2019-10-18,SPY,-2288794978
2019-10-21,SPY,923866718.2
2019-10-22,SPY,2175555371.8
2019-10-23,SPY,-642882695.1
2019-10-24,SPY,509788292.2
2019-10-25,SPY,-1186781308
2019-10-28,SPY,527935964.5
2019-10-29,SPY,-1683647689
2019-10-30,SPY,-545597501.4
2019-10-31,SPY,-714679189.4
2019-11-01,SPY,2077054397
2019-11-04,SPY,-321479546.9
2019-11-05,SPY,676076350.4
2019-11-06,SPY,-567848845.7
2019-11-07,SPY,-1167292805
2019-11-08,SPY,647145195.9
2019-11-11,SPY,-973369945.8
2019-11-12,SPY,-555118657.2
2019-11-13,SPY,139003705.8
2019-11-14,SPY,-1978408429
2019-11-15,SPY,-742709287.2
2019-11-18,SPY,-62378169.2
2019-11-19,SPY,780128585
2019-11-20,SPY,1107192186.7
2019-11-21,SPY,916790226.6
2019-11-22,SPY,698192014.5
2019-11-25,SPY,1694849305.8
2019-11-26,SPY,-313345482
2019-11-27,SPY,2590813937.3
2019-11-29,SPY,1971130331.3
2019-12-02,SPY,2859103065
2019-12-03,SPY,-1354999435
2019-12-04,SPY,-928327080
2019-12-05,SPY,311423731
2019-12-06,SPY,327573511.65
2019-12-09,SPY,1227828478.5
2019-12-10,SPY,-957279179.3
2019-12-11,SPY,877880371.2
2019-12-12,SPY,2641297310.4
2019-12-13,SPY,1316258554.4
2019-12-16,SPY,-1665541500
2019-12-17,SPY,-383415218.4
2019-12-18,SPY,-1853775491
2019-12-19,SPY,-5000248899
2019-12-20,SPY,11152779606
2019-12-23,SPY,-2696135828
2019-12-24,SPY,16062254.25
2019-12-26,SPY,497865828
2019-12-27,SPY,2292452678.9
2019-12-30,SPY,226025350.6
2019-12-31,SPY,4559158216
2020-01-02,SPY,1062721878.9
2020-01-03,SPY,-1282861787
2020-01-06,SPY,-2338210057
2020-01-07,SPY,16182555.55
2020-01-08,SPY,1420210959.2
2020-01-09,SPY,2643590365.4
2020-01-10,SPY,-1780031209
2020-01-13,SPY,-16283810.65
2020-01-14,SPY,-377138954.6
2020-01-15,SPY,-1833891326
2020-01-16,SPY,475739685.75
2020-01-17,SPY,-529360822.4
2020-01-21,SPY,-979787821.8
2020-01-22,SPY,-1855022254
2020-01-23,SPY,1375147751.6
2020-01-24,SPY,16588091.85
2020-01-27,SPY,-690413923.5
2020-01-28,SPY,-177979049.6
2020-01-29,SPY,261484840
2020-01-30,SPY,522526440
2020-01-31,SPY,1015713301.2
2020-02-03,SPY,-3701598668
2020-02-04,SPY,162106299.5
2020-02-05,SPY,1711137511.2
2020-02-06,SPY,-482518440.1
2020-02-07,SPY,-567682943.1
2020-02-10,SPY,647773411.35
2020-02-11,SPY,2777773217.6
2020-02-12,SPY,-754307538.8
2020-02-13,SPY,-1029134877
2020-02-14,SPY,572862326.3
2020-02-18,SPY,-1992120533
2020-02-19,SPY,454522419.9
2020-02-20,SPY,186077480.05
2020-02-21,SPY,-5982639257
2020-02-24,SPY,-3585357404
2020-02-25,SPY,-6415960771
2020-02-26,SPY,-3126788510
2020-02-27,SPY,-2414146654
2020-02-28,SPY,-4988929126
2020-03-02,SPY,2570395251
2020-03-03,SPY,4248868951.3
2020-03-04,SPY,210249810.4
2020-03-05,SPY,-1220722417
2020-03-06,SPY,-2918971459
2020-03-09,SPY,1843580124.6
2020-03-10,SPY,1525547764.1
2020-03-11,SPY,2465848753.7
2020-03-12,SPY,3512094848
2020-03-13,SPY,372664495.5
2020-03-16,SPY,8551823206.5
2020-03-17,SPY,-6181170650
2020-03-18,SPY,3889418412.5
2020-03-19,SPY,-1706251247
2020-03-20,SPY,4817151498.6
2020-03-23,SPY,-4869284667
2020-03-24,SPY,1215100248.3
2020-03-25,SPY,-170731231.3
2020-03-26,SPY,-986870432
2020-03-27,SPY,-3224191263
2020-03-30,SPY,1013175972
2020-03-31,SPY,-1675680467
2020-04-01,SPY,-3851991824
2020-04-02,SPY,5541453247.5
2020-04-03,SPY,579481876.6
2020-04-06,SPY,3921050481.6
2020-04-07,SPY,106245399.6
2020-04-08,SPY,-1922627986
2020-04-09,SPY,-4196485928
2020-04-13,SPY,-2421046014
2020-04-14,SPY,4600474968.1
2020-04-15,SPY,-1802915622
2020-04-16,SPY,-1444000449
2020-04-17,SPY,1955147635
2020-04-20,SPY,1763768100.2
2020-04-21,SPY,-1675929182
2020-04-22,SPY,-2539320416
2020-04-23,SPY,-600507814
2020-04-24,SPY,-1521520667
2020-04-27,SPY,2122978530
2020-04-28,SPY,-2039310053
2020-04-29,SPY,-928595892.3
2020-04-30,SPY,-1598565028
2020-05-01,SPY,-770162270.8
2020-05-04,SPY,-2570877855
2020-05-05,SPY,1475313689.2
2020-05-06,SPY,300590038.35
2020-05-07,SPY,156367399.1
2020-05-08,SPY,2085606564.8
2020-05-11,SPY,-819184469.6
2020-05-12,SPY,1902031963
2020-05-13,SPY,-1490676252
2020-05-14,SPY,-1563400884
2020-05-15,SPY,441738934.55
2020-05-18,SPY,300443342.85
2020-05-19,SPY,-1387257194
2020-05-20,SPY,14604996.85
2020-05-21,SPY,59401042.6
2020-05-22,SPY,162096344.3
2020-05-26,SPY,-502282028.9
2020-05-27,SPY,-2362750857
2020-05-28,SPY,2883338521
2020-05-29,SPY,181744196.4
2020-06-01,SPY,-669692511.4
2020-06-02,SPY,-3758341002
2020-06-03,SPY,3034447292.8
2020-06-04,SPY,1093000972
2020-06-05,SPY,5229871248
2020-06-08,SPY,-3689440143
2020-06-09,SPY,4331732079.2
2020-06-10,SPY,-3544577861
2020-06-11,SPY,1244421773.4
2020-06-12,SPY,-4205315408
2020-06-15,SPY,-1719697303
2020-06-16,SPY,2869528342.5
2020-06-17,SPY,-2392163461
2020-06-18,SPY,732214778.95
2020-06-19,SPY,-1371810999
2020-06-22,SPY,1836839446.4
2020-06-23,SPY,2019638016.5
2020-06-24,SPY,-1232611080
2020-06-25,SPY,714371351.15
2020-06-26,SPY,-1229333528
2020-06-29,SPY,374858107.5
2020-06-30,SPY,-304326390
2020-07-01,SPY,293587203.9
2020-07-02,SPY,139769293.5
2020-07-06,SPY,-405695950.4
2020-07-07,SPY,729176576.2
2020-07-08,SPY,-1912991012
2020-07-09,SPY,-1754157709
2020-07-10,SPY,94310843.7
2020-07-13,SPY,1921834766
2020-07-14,SPY,-1132869157
2020-07-15,SPY,4146229022
2020-07-16,SPY,-917247742.1
2020-07-17,SPY,2004721600
2020-07-20,SPY,-1592315282
2020-07-21,SPY,421698478.5
2020-07-22,SPY,-714849225.2
2020-07-23,SPY,947730413.9
2020-07-24,SPY,758590892.25
2020-07-27,SPY,-2069230782
2020-07-28,SPY,517092048
2020-07-29,SPY,-2151330885
2020-07-30,SPY,195048136.8
2020-07-31,SPY,-2267460083
2020-08-03,SPY,2595176654.3
2020-08-04,SPY,345225834.45
2020-08-05,SPY,593941701.6
2020-08-06,SPY,-265669683.2
2020-08-07,SPY,-584949141
2020-08-10,SPY,1505410920
2020-08-11,SPY,16772790
2020-08-12,SPY,-499183579.5
2020-08-13,SPY,-320613259
2020-08-14,SPY,-1414894992
2020-08-17,SPY,-656847256.7
2020-08-18,SPY,540420190.4
2020-08-19,SPY,727969557.8
2020-08-20,SPY,-303443126.1
2020-08-21,SPY,-2739673992
2020-08-24,SPY,-967323270.9
2020-08-25,SPY,1868549645.7
2020-08-26,SPY,-412903725.6
2020-08-27,SPY,260692122
2020-08-28,SPY,-470058575
2020-08-31,SPY,-1367189129
2020-09-01,SPY,-2431337314
2020-09-02,SPY,2150039928.2
2020-09-03,SPY,501063742.2
2020-09-04,SPY,2107127099.2
2020-09-08,SPY,2809534438.2
2020-09-09,SPY,-666316662
2020-09-11,SPY,2053639223.6
2020-09-14,SPY,3073873069.6
2020-09-15,SPY,-1387702343
2020-09-16,SPY,-680456690
2020-09-17,SPY,-1016021946
2020-09-18,SPY,3072933053.7
2020-09-21,SPY,-6962534122
2020-09-22,SPY,-1814552681
2020-09-23,SPY,-1123306620
2020-09-24,SPY,499979091.8
2020-09-25,SPY,-1148587867
2020-09-28,SPY,1939460248.4
2020-09-29,SPY,2304729809.7
2020-09-30,SPY,-1429541097
2020-10-01,SPY,-4374447200
2020-10-02,SPY,-370715517.7
2020-10-05,SPY,600819975
2020-10-06,SPY,-475753514.6
2020-10-07,SPY,-435607133
2020-10-08,SPY,801160493.65
2020-10-09,SPY,1976567939.5
2020-10-12,SPY,-1179038638
2020-10-13,SPY,-2061926264
2020-10-14,SPY,-52536543.6
2020-10-15,SPY,1618003677
2020-10-16,SPY,4412413997.1
2020-10-19,SPY,-104245118.7
2020-10-20,SPY,-598169558
2020-10-21,SPY,-1493924480
2020-10-22,SPY,-239878700.6
2020-10-23,SPY,-447848778
2020-10-26,SPY,-864223545
2020-10-27,SPY,865137620.25
2020-10-28,SPY,-3636173869
2020-10-29,SPY,-2626888381
2020-10-30,SPY,528391078.4
2020-11-02,SPY,4339454627.2
2020-11-03,SPY,231203841.4
2020-11-04,SPY,1546357541.8
2020-11-05,SPY,-1494537822
2020-11-06,SPY,2189473375
2020-11-09,SPY,9667069077.6
2020-11-10,SPY,1541561312.9
2020-11-11,SPY,-318549567.6
2020-11-12,SPY,-3370305796
2020-11-13,SPY,-1659880487
2020-11-16,SPY,2935551521.6
2020-11-17,SPY,470807251.2
2020-11-18,SPY,-2775687453
2020-11-19,SPY,-1389934736
2020-11-20,SPY,-1001893040
2020-11-23,SPY,1492657101.6
2020-11-24,SPY,839964598.4
2020-11-25,SPY,635598813.5
2020-11-27,SPY,-779665985.3
2020-11-30,SPY,1744973140.8
2020-12-01,SPY,-90481370.25
2020-12-02,SPY,-1756823966
2020-12-03,SPY,-990070406.1
2020-12-04,SPY,-3280438685
2020-12-07,SPY,-1885867846
2020-12-08,SPY,-1051827917
2020-12-09,SPY,925234070
2020-12-10,SPY,-2037842046
2020-12-11,SPY,-2658825089
2020-12-14,SPY,-787498508.4
2020-12-15,SPY,-4139928901
2020-12-16,SPY,2733941129.6
2020-12-17,SPY,2627743781.8
2020-12-18,SPY,2159020657.8
2020-12-21,SPY,4524987528.3
2020-12-22,SPY,2115721774.8
2020-12-23,SPY,-1799341696
2020-12-24,SPY,-55123827.3
2020-12-28,SPY,903628227.6
