DATE,THREEFF10
2020-08-17,1.8749
2020-08-18,1.8640
2020-08-19,1.8706
2020-08-20,1.8536
2020-08-21,1.8412
2020-08-24,1.8448
2020-08-25,1.8676
2020-08-26,1.8856
2020-08-27,1.9258
2020-08-28,1.9374
2020-08-31,1.9348
2020-09-01,1.9093
2020-09-02,1.8890
2020-09-03,1.8561
2020-09-04,1.9070
2020-09-07,.
2020-09-08,1.8996
2020-09-09,1.9056
2020-09-10,1.8936
2020-09-11,1.8839
2020-09-14,1.8839
2020-09-15,1.8840
2020-09-16,1.8932
2020-09-17,1.8960
2020-09-18,1.9055
2020-09-21,1.8937
2020-09-22,1.8862
2020-09-23,1.8924
2020-09-24,1.8852
2020-09-25,1.8746
2020-09-28,1.8724
2020-09-29,1.8629
2020-09-30,1.8825
2020-10-01,1.8837
2020-10-02,1.8990
2020-10-05,1.9618
2020-10-06,1.9709
2020-10-07,2.0087
2020-10-08,2.0053
2020-10-09,2.0171
2020-10-12,.
2020-10-13,1.9884
2020-10-14,1.9735
2020-10-15,1.9793
2020-10-16,1.9883
2020-10-19,2.0070
2020-10-20,2.0360
2020-10-21,2.0702
2020-10-22,2.1122
2020-10-23,2.1180
2020-10-26,2.0970
2020-10-27,2.0738
2020-10-28,2.0647
2020-10-29,2.1033
2020-10-30,2.1420
2020-11-02,2.1479
2020-11-03,2.1721
2020-11-04,2.0995
2020-11-05,2.0764
2020-11-06,2.0968
2020-11-09,2.1914
2020-11-10,2.2445
2020-11-11,.
2020-11-12,2.1935
2020-11-13,2.1880
2020-11-16,2.1941
2020-11-17,2.1663
2020-11-18,2.1692
2020-11-19,2.1523
2020-11-20,2.1318
2020-11-23,2.1403
2020-11-24,2.1586
2020-11-25,2.1701
2020-11-26,.
2020-11-27,2.1458
2020-11-30,2.1395
2020-12-01,2.1951
2020-12-02,2.2326
2020-12-03,2.2306
2020-12-04,2.2675
2020-12-07,2.2569
2020-12-08,2.2465
2020-12-09,2.2601
2020-12-10,2.2440
2020-12-11,2.2272
2020-12-14,2.2252
2020-12-15,2.2406
2020-12-16,2.2530
2020-12-17,2.2663
2020-12-18,2.2794
2020-12-21,2.2873
2020-12-22,2.2728
2020-12-23,2.2941
2020-12-24,2.2856
2020-12-25,.
2020-12-28,2.2838
2020-12-29,2.2854
2020-12-30,2.2793
2020-12-31,2.2725
2021-01-01,.
2021-01-04,2.2674
2021-01-05,2.2878
2021-01-06,2.3586
2021-01-07,2.4194
2021-01-08,2.4799
2021-01-11,2.5241
2021-01-12,2.5459
2021-01-13,2.5266
2021-01-14,2.5530
2021-01-15,2.5359
2021-01-18,.
2021-01-19,2.5296
2021-01-20,2.5325
2021-01-21,2.5481
2021-01-22,2.5388
2021-01-25,2.5014
2021-01-26,2.4876
2021-01-27,2.4687
2021-01-28,2.4797
2021-01-29,2.5179
2021-02-01,2.5129
2021-02-02,2.5361
2021-02-03,2.5668
2021-02-04,2.5849
2021-02-05,2.6163
2021-02-08,2.6338
2021-02-09,2.6358
2021-02-10,2.6150
2021-02-11,2.6165
2021-02-12,2.6558
2021-02-15,.
2021-02-16,2.7468
2021-02-17,2.7923
2021-02-18,2.8116
2021-02-19,2.8661
2021-02-22,2.9107
2021-02-23,2.9299
2021-02-24,2.9579
2021-02-25,3.1210
2021-02-26,3.1156
2021-03-01,3.1128
2021-03-02,3.0877
2021-03-03,3.1280
2021-03-04,3.2019
2021-03-05,3.2457
2021-03-08,3.3019
2021-03-09,3.2873
2021-03-10,3.2608
2021-03-11,3.2581
2021-03-12,3.3417
2021-03-15,3.3621
2021-03-16,3.3722
2021-03-17,3.3809
2021-03-18,3.4547
2021-03-19,3.5133
2021-03-22,3.5040
2021-03-23,3.4620
2021-03-24,3.4387
2021-03-25,3.4361
2021-03-26,3.4676
2021-03-29,3.5211
2021-03-30,3.5481
2021-03-31,3.5746
2021-04-01,3.5485
2021-04-02,3.5671
2021-04-05,3.5647
2021-04-06,3.5153
2021-04-07,3.5040
2021-04-08,3.4670
2021-04-09,3.4747
2021-04-12,3.4845
2021-04-13,3.4467
2021-04-14,3.4436
2021-04-15,3.3755
2021-04-16,3.3708
2021-04-19,3.3811
2021-04-20,3.3557
2021-04-21,3.3448
2021-04-22,3.3351
2021-04-23,3.3432
2021-04-26,3.3431
2021-04-27,3.3764
2021-04-28,3.3855
2021-04-29,3.4036
2021-04-30,3.4119
2021-05-03,3.4000
2021-05-04,3.3838
2021-05-05,3.3602
2021-05-06,3.3487
2021-05-07,3.3463
2021-05-10,3.3656
2021-05-11,3.3848
2021-05-12,3.4449
2021-05-13,3.4469
2021-05-14,3.4319
2021-05-17,3.4352
2021-05-18,3.4324
2021-05-19,3.4650
2021-05-20,3.4373
2021-05-21,3.4305
2021-05-24,3.4120
2021-05-25,3.3676
2021-05-26,3.3610
2021-05-27,3.3808
2021-05-28,3.3649
2021-05-31,.
2021-06-01,3.3866
2021-06-02,3.3787
2021-06-03,3.4044
2021-06-04,3.3566
2021-06-07,3.3424
2021-06-08,3.3075
2021-06-09,3.2620
2021-06-10,3.2137
2021-06-11,3.2053
2021-06-14,3.2270
2021-06-15,3.2333
2021-06-16,3.2892
2021-06-17,3.2672
2021-06-18,3.2001
2021-06-21,3.1915
2021-06-22,3.1698
2021-06-23,3.1775
2021-06-24,3.1708
2021-06-25,3.1966
2021-06-28,3.1684
2021-06-29,3.1560
2021-06-30,3.1236
2021-07-01,3.1279
2021-07-02,3.0974
2021-07-05,.
2021-07-06,3.0335
2021-07-07,2.9767
2021-07-08,2.9282
2021-07-09,2.9565
2021-07-12,2.9676
2021-07-13,2.9974
2021-07-14,2.9647
2021-07-15,2.9129
2021-07-16,2.8958
2021-07-19,2.7942
2021-07-20,2.7735
2021-07-21,2.8214
2021-07-22,2.8100
2021-07-23,2.8264
2021-07-26,2.8327
2021-07-27,2.8053
2021-07-28,2.8004
2021-07-29,2.8160
2021-07-30,2.7964
2021-08-02,2.7539
2021-08-03,2.7296
2021-08-04,2.7213
2021-08-05,2.7481
2021-08-06,2.8092
2021-08-09,2.8458
2021-08-10,2.8796
2021-08-11,2.8868
2021-08-12,2.9097
2021-08-13,2.8699
2021-08-16,2.8279
2021-08-17,2.8183
2021-08-18,2.8155
2021-08-19,2.7928
2021-08-20,2.7932
2021-08-23,2.7797
2021-08-24,2.8013
2021-08-25,2.8569
2021-08-26,2.8749
2021-08-27,2.8582
2021-08-30,2.8395
2021-08-31,2.8449
2021-09-01,2.8488
2021-09-02,2.8420
2021-09-03,2.8607
2021-09-06,.
2021-09-07,2.9041
2021-09-08,2.8955
2021-09-09,2.8672
2021-09-10,2.8890
2021-09-13,2.8825
2021-09-14,2.8457
2021-09-15,2.8501
2021-09-16,2.8794
2021-09-17,2.9161
2021-09-20,2.8815
2021-09-21,2.8805
2021-09-22,2.8797
2021-09-23,2.9448
2021-09-24,3.0034
2021-09-27,3.0426
2021-09-28,3.1018
2021-09-29,3.1337
2021-09-30,3.1332
2021-10-01,3.1044
2021-10-04,3.1067
2021-10-05,3.1426
2021-10-06,3.1497
2021-10-07,3.1881
2021-10-08,3.2273
2021-10-11,.
2021-10-12,3.2261
2021-10-13,3.2038
2021-10-14,3.1599
2021-10-15,3.1876
2021-10-18,3.1917
2021-10-19,3.2249
2021-10-20,3.2452
2021-10-21,3.2778
2021-10-22,3.2573
2021-10-25,3.2294
2021-10-26,3.2076
2021-10-27,3.1347
2021-10-28,3.1320
2021-10-29,3.1226
2021-11-01,3.1294
2021-11-02,3.0998
2021-11-03,3.1196
2021-11-04,3.0679
2021-11-05,2.9976
2021-11-08,3.0213
2021-11-09,2.9776
2021-11-10,3.0461
2021-11-11,.
2021-11-12,3.0677
2021-11-15,3.1024
2021-11-16,3.1206
2021-11-17,3.1075
2021-11-18,3.0900
2021-11-19,3.0556
2021-11-22,3.1062
2021-11-23,3.1384
2021-11-24,3.1350
2021-11-25,.
2021-11-26,3.0055
2021-11-29,2.9916
2021-11-30,2.9287
2021-12-01,2.8980
2021-12-02,2.8819
2021-12-03,2.7922
2021-12-06,2.8058
2021-12-07,2.8262
2021-12-08,2.8364
2021-12-09,2.8165
2021-12-10,2.8052
2021-12-13,2.7589
2021-12-14,2.7555
2021-12-15,2.7692
2021-12-16,2.7349
2021-12-17,2.7112
2021-12-20,2.7067
2021-12-21,2.7448
2021-12-22,2.7511
2021-12-23,2.7700
2021-12-24,.
2021-12-27,2.7584
2021-12-28,2.7495
2021-12-29,2.7927
2021-12-30,2.7849
2021-12-31,2.7806
2022-01-03,2.8724
2022-01-04,2.9257
2022-01-05,2.9798
2022-01-06,3.0136
2022-01-07,3.0549
2022-01-10,3.0731
2022-01-11,3.0580
2022-01-12,3.0393
2022-01-13,3.0036
2022-01-14,3.0433
2022-01-17,.
2022-01-18,3.1087
2022-01-19,3.0945
2022-01-20,3.0777
2022-01-21,3.0130
2022-01-24,3.0000
2022-01-25,3.0165
2022-01-26,3.0659
2022-01-27,3.0274
2022-01-28,2.9630
2022-01-31,2.9403
2022-02-01,2.9304
2022-02-02,2.9019
2022-02-03,2.9193
2022-02-04,2.9837
2022-02-07,2.9763
2022-02-08,2.9947
2022-02-09,2.9846
2022-02-10,3.0188
2022-02-11,2.9187
2022-02-14,2.9151
2022-02-15,2.9407
2022-02-16,2.9343
2022-02-17,2.8981
2022-02-18,2.8568
2022-02-21,.
2022-02-22,2.8416
2022-02-23,2.8590
2022-02-24,2.8377
2022-02-25,2.8393
2022-02-28,2.7316
2022-03-01,2.6185
2022-03-02,2.6940
2022-03-03,2.6877
2022-03-04,2.5764
2022-03-07,2.5669
2022-03-08,2.6047
2022-03-09,2.6479
2022-03-10,2.6867
2022-03-11,2.7007
2022-03-14,2.7993
2022-03-15,2.8230
2022-03-16,2.8550
2022-03-17,2.8623
2022-03-18,2.8052
2022-03-21,2.8974
2022-03-22,2.9427
2022-03-23,2.9103
2022-03-24,2.9123
2022-03-25,3.0176
2022-03-28,2.9957
2022-03-29,2.9217
2022-03-30,2.8440
2022-03-31,2.7892
2022-04-01,2.8050
2022-04-04,2.8105
2022-04-05,2.8937
2022-04-06,2.9583
2022-04-07,3.0283
2022-04-08,3.1080
2022-04-11,3.1825
2022-04-12,3.1726
2022-04-13,3.1906
2022-04-14,3.3088
2022-04-15,.
2022-04-18,3.3684
2022-04-19,3.4516
2022-04-20,3.4122
2022-04-21,3.4374
2022-04-22,3.4168
2022-04-25,3.3319
2022-04-26,3.2751
2022-04-27,3.2955
2022-04-28,3.3264
2022-04-29,3.3612
2022-05-02,3.4335
2022-05-03,3.4329
2022-05-04,3.4036
2022-05-05,3.4932
2022-05-06,3.5818
2022-05-09,3.5665
2022-05-10,3.5342
2022-05-11,3.4887
2022-05-12,3.4266
2022-05-13,3.4845
2022-05-16,3.4607
2022-05-17,3.5250
2022-05-18,3.4693
2022-05-19,3.4258
2022-05-20,3.3792
2022-05-23,3.4299
2022-05-24,3.3739
2022-05-25,3.3488
2022-05-26,3.3612
2022-05-27,3.3747
2022-05-30,.
2022-05-31,3.4599
2022-06-01,3.5429
2022-06-02,3.5427
2022-06-03,3.5614
2022-06-06,3.6272
2022-06-07,3.5991
2022-06-08,3.6156
2022-06-09,3.6196
2022-06-10,3.6882
2022-06-13,3.8509
2022-06-14,3.8866
2022-06-15,3.7615
2022-06-16,3.6892
2022-06-17,3.6674
2022-06-20,.
2022-06-21,3.6957
2022-06-22,3.5886
2022-06-23,3.5199
2022-06-24,3.5361
2022-06-27,3.5937
2022-06-28,3.6147
2022-06-29,3.5581
2022-06-30,3.4665
2022-07-01,3.3568
2022-07-04,.
2022-07-05,3.3144
2022-07-06,3.3769
2022-07-07,3.4411
2022-07-08,3.5086
2022-07-11,3.4560
2022-07-12,3.4115
2022-07-13,3.3690
2022-07-14,3.3849
2022-07-15,3.3749
2022-07-18,3.3957
2022-07-19,3.4440
2022-07-20,3.4782
2022-07-21,3.3824
2022-07-22,3.2853
2022-07-25,3.2981
2022-07-26,3.2991
2022-07-27,3.2736
2022-07-28,3.1999
2022-07-29,3.1834
2022-08-01,3.1297
2022-08-02,3.2126
2022-08-03,3.2006
2022-08-04,3.1351
2022-08-05,3.2125
2022-08-08,3.1638
2022-08-09,3.1569
2022-08-10,3.1370
2022-08-11,3.1993
2022-08-12,3.1992
2022-08-15,3.1657
2022-08-16,3.1787
2022-08-17,3.2350
2022-08-18,3.2435
2022-08-19,3.3328
2022-08-22,3.4061
2022-08-23,3.4521
2022-08-24,3.5136
2022-08-25,3.4803
2022-08-26,3.4921
2022-08-29,3.5473
2022-08-30,3.5590
2022-08-31,3.5882
